numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,6,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,25.46,0.00,25.46
2019,6,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,153.27,0.00,153.27
2019,5,,RUY CARNEIRO,PSDB,PB,TELEFONIA,00000000000006,RAMAL,65.76,0.00,65.76
2019,5,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,42.02,0.00,42.02
2019,5,,GERVÁSIO MAIA,PSB,PB,TELEFONIA,00000000000006,RAMAL,56.72,0.00,56.72
2019,5,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,50.00,0.00,50.00
2019,5,,WILSON SANTIAGO,PTB,PB,TELEFONIA,00000000000006,RAMAL,49.41,0.00,49.41
2019,5,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,31.08,0.00,31.08
2019,5,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,54.99,0.00,54.99
2019,5,,JULIAN LEMOS,PSL,PB,TELEFONIA,00000000000006,RAMAL,42.95,0.00,42.95
2019,5,,WELLINGTON ROBERTO,PL,PB,TELEFONIA,00000000000006,RAMAL,133.95,0.00,133.95
2019,5,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,168.47,0.00,168.47
2019,5,,EDNA HENRIQUE,PSDB,PB,TELEFONIA,00000000000006,RAMAL,71.63,0.00,71.63
2019,5,,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,00000000000006,RAMAL,18.56,0.00,18.56
2019,4,,GERVÁSIO MAIA,PSB,PB,TELEFONIA,00000000000006,RAMAL,25.44,0.00,25.44
2019,4,,JULIAN LEMOS,PSL,PB,TELEFONIA,00000000000006,RAMAL,40.18,0.00,40.18
2019,4,,EDNA HENRIQUE,PSDB,PB,TELEFONIA,00000000000006,RAMAL,59.46,0.00,59.46
2019,4,,WILSON SANTIAGO,PTB,PB,TELEFONIA,00000000000006,RAMAL,53.32,0.00,53.32
2019,4,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,31.89,0.00,31.89
2019,4,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,94.97,0.00,94.97
2019,4,,RUY CARNEIRO,PSDB,PB,TELEFONIA,00000000000006,RAMAL,83.46,0.00,83.46
2019,4,,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,00000000000006,RAMAL,8.36,0.00,8.36
2019,4,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,144.15,0.00,144.15
2019,4,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,86.63,0.00,86.63
2019,4,,WELLINGTON ROBERTO,PL,PB,TELEFONIA,00000000000006,RAMAL,122.88,0.00,122.88
2019,4,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,32.11,0.00,32.11
2019,3,,WILSON SANTIAGO,PTB,PB,TELEFONIA,00000000000006,RAMAL,42.91,0.00,42.91
2019,3,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,46.32,0.00,46.32
2019,3,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,61.92,0.00,61.92
2019,3,,RUY CARNEIRO,PSDB,PB,TELEFONIA,00000000000006,RAMAL,49.91,0.00,49.91
2019,3,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,26.93,0.00,26.93
2019,3,,JULIAN LEMOS,PSL,PB,TELEFONIA,00000000000006,RAMAL,29.36,0.00,29.36
2019,3,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,32.75,0.00,32.75
2019,3,,WELLINGTON ROBERTO,PL,PB,TELEFONIA,00000000000006,RAMAL,129.02,0.00,129.02
2019,3,,GERVÁSIO MAIA,PSB,PB,TELEFONIA,00000000000006,RAMAL,8.97,0.00,8.97
2019,3,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,143.15,0.00,143.15
2019,3,,EDNA HENRIQUE,PSDB,PB,TELEFONIA,00000000000006,RAMAL,75.91,0.00,75.91
2019,3,,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,00000000000006,RAMAL,30.40,0.00,30.40
2019,2,,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,00000000000006,RAMAL,38.83,0.00,38.83
2019,2,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,44.22,0.00,44.22
2019,2,,WILSON SANTIAGO,PTB,PB,TELEFONIA,00000000000006,RAMAL,56.61,0.00,56.61
2019,2,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,46.29,0.00,46.29
2019,2,,EDNA HENRIQUE,PSDB,PB,TELEFONIA,00000000000006,RAMAL,91.51,0.00,91.51
2019,2,,RUY CARNEIRO,PSDB,PB,TELEFONIA,00000000000006,RAMAL,77.07,0.00,77.07
2019,2,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,56.00,0.00,56.00
2019,2,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,55.52,0.00,55.52
2019,2,,JULIAN LEMOS,PSL,PB,TELEFONIA,00000000000006,RAMAL,20.92,0.00,20.92
2019,2,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,125.63,0.00,125.63
2019,2,,GERVÁSIO MAIA,PSB,PB,TELEFONIA,00000000000006,RAMAL,5.98,0.00,5.98
2019,2,,WELLINGTON ROBERTO,PL,PB,TELEFONIA,00000000000006,RAMAL,145.80,0.00,145.80
2019,1,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,22.82,0.00,22.82
2019,1,,WILSON FILHO,PTB,PB,TELEFONIA,00000000000006,RAMAL,35.54,0.00,35.54
2019,1,,ANDRÉ AMARAL,PROS,PB,TELEFONIA,00000000000006,RAMAL,20.46,0.00,20.46
2019,1,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,31.15,0.00,31.15
2019,1,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,42.84,0.00,42.84
2019,1,,VENEZIANO VITAL DO RÊGO,PSB,PB,TELEFONIA,00000000000006,RAMAL,56.69,0.00,56.69
2019,1,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,104.61,0.00,104.61
2019,1,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,25.93,0.00,25.93
2019,1,,WELLINGTON ROBERTO,PR,PB,TELEFONIA,00000000000006,RAMAL,134.87,0.00,134.87
2019,1,,LUIZ COUTO,PT,PB,TELEFONIA,00000000000006,RAMAL,54.00,0.00,54.00
2019,1,,BENJAMIN MARANHÃO,MDB,PB,TELEFONIA,00000000000006,RAMAL,162.57,0.00,162.57
2019,1,,MARCONDES GADELHA,PSC,PB,TELEFONIA,00000000000006,RAMAL,20.08,0.00,20.08
2019,8,2019-08-23 16:58:48+00:00,WELLINGTON ROBERTO,PL,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,888.34,0.00,888.34
2019,8,2019-08-20 17:11:41+00:00,EFRAIM FILHO,DEM,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,116.51,0.00,116.51
2019,8,2019-08-20 16:25:50+00:00,PEDRO CUNHA LIMA,PSDB,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - TELEGRAMA,11.85,0.00,11.85
2019,8,2019-08-16 13:37:08+00:00,DAMIÃO FELICIANO,PDT,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,95.92,0.00,95.92
2019,8,2019-08-15 14:38:34+00:00,HUGO MOTTA,PRB,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,8.00,0.00,8.00
2019,8,2019-08-15 10:57:20+00:00,DAMIÃO FELICIANO,PDT,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12,132.20,0.00,132.20
2019,8,2019-08-13 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",27963300000122,NOGUEIRA FORMIGA ADVOGADOS ASSOCIADOS,24000.00,0.00,24000.00
2019,8,2019-08-13 00:00:00+00:00,GERVÁSIO MAIA,PSB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597007614,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,242.27,0.00,242.27
2019,7,2019-08-13 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,20174243000153,GUIA SERVIÇOS DE COMUNICAÇÃO LTDA - ME,3680.00,0.00,3680.00
2019,7,2019-08-13 00:00:00+00:00,RUY CARNEIRO,PSDB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,24083816000194,LUCAS DO NASCIMENTO FARIAS,1000.00,0.00,1000.00
2019,8,2019-08-12 14:10:38+00:00,EFRAIM FILHO,DEM,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,47.49,0.00,47.49
2019,8,2019-08-12 00:00:00+00:00,HUGO MOTTA,PRB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,32216743000190,POSTO DE COMBUSTIVEIS 309 SUL LTDA,260.00,0.00,260.00
2019,7,2019-08-12 00:00:00+00:00,FREI ANASTACIO RIBEIRO,PT,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,03589586000160,ART & VIDEO PRODUCOES E STUDIO FOTOGRAFICO LTDA - ME,17500.00,0.00,17500.00
2019,7,2019-08-12 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,13193071000108,ROBERTO CLEBIO MESSIAS LEITAO FILHO - ME,2700.00,0.00,2700.00
2019,7,2019-08-12 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,19917902000115,Geraldo Pereira Frade,350.00,0.00,350.00
2019,7,2019-08-12 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,24032577000143,FRANCISCO DE ASSIS SOARES DO REGO-ME,320.00,0.00,320.00
2019,8,2019-08-11 00:00:00+00:00,GERVÁSIO MAIA,PSB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,05747008000130,AUTO POSTO RONALDAO LTDA,159.99,0.00,159.99
2019,8,2019-08-11 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,02703510000150,FRANCISCO RESTAURANTE LTDA EPP,203.40,0.00,203.40
2019,8,2019-08-10 00:00:00+00:00,EDNA HENRIQUE,PSDB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,05366353000123,POSTO DE COMBUSTIVEIS COSTA DO SOL LTDA.,165.00,0.00,165.00
2019,7,2019-08-10 00:00:00+00:00,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,40432544006420,CLARO S.A.,154.91,0.00,154.91
2019,8,2019-08-09 16:36:46+00:00,WELLINGTON ROBERTO,PL,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,352.67,0.00,352.67
2019,8,2019-08-09 00:00:00+00:00,DAMIÃO FELICIANO,PDT,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00375386000116,MIZUNO KAY & CIA LTDA CEASA 00375386000116,50.00,0.00,50.00
2019,7,2019-08-09 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,23771823000116,EDUARDO RABELO MENEZES,350.00,0.00,350.00
2019,7,2019-08-09 00:00:00+00:00,EDNA HENRIQUE,PSDB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,19908517000101,GLOBO MÍDIA PORTAL DE NOTICIAS E COMUNICAÇÃO LTDA,1700.00,0.00,1700.00
2019,7,2019-08-09 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,29635485000171,Vicente de paula Conserva Junior,1000.00,0.00,1000.00
2019,7,2019-08-09 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,23721017000133,"T2 COMUNICACAO, VIDEO E PRODUCOES EIRELI - EPP",2300.00,0.00,2300.00
2019,7,2019-08-09 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,24063744000113,Dayana Millena Trigueiro Nobre,450.00,0.00,450.00
2019,8,2019-08-08 00:00:00+00:00,EDNA HENRIQUE,PSDB,PB,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,12132854000100,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,300.82,0.00,300.82
2019,8,2019-08-08 00:00:00+00:00,EDNA HENRIQUE,PSDB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,11372084000291,POSTO ALTERNATIVA DE COMBUSTIVEL E SERVICO LTDA,50.00,0.00,50.00
2019,8,2019-08-08 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,33469172000672,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,34.15,0.00,34.15
2019,8,2019-08-08 00:00:00+00:00,FREI ANASTACIO RIBEIRO,PT,PB,COMBUSTÍVEIS E LUBRIFICANTES.,01857272000175,VASCO DA GAMA REVENDEDORA DE COMBUSTIVEIS LTDA,150.00,0.00,150.00
2019,8,2019-08-08 00:00:00+00:00,JULIAN LEMOS,PSL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,31180570000134,LUCAS PAULINO DE SOUSA NOGUEIRA,15000.00,0.00,13517.20
2019,8,2019-08-08 00:00:00+00:00,GERVÁSIO MAIA,PSB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,03690688000177,POSTO SÃO LUIZ XV,175.02,0.00,175.02
2019,8,2019-08-08 00:00:00+00:00,JULIAN LEMOS,PSL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,11630318000172,LINDERLANDIO BARBOSA ME,10000.00,0.00,10000.00
2019,8,2019-08-08 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,02703510000150,FRANCISCO RESTAURANTE LTDA EPP,131.60,0.00,131.60
2019,8,2019-08-08 00:00:00+00:00,HUGO MOTTA,PRB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597007614,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,200.00,0.00,200.00
2019,8,2019-08-08 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,28367462000160,JFB LOCADORA LTDA,4500.00,0.00,4500.00
2019,7,2019-08-08 00:00:00+00:00,EDNA HENRIQUE,PSDB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,24649557000116,JOSE ISMAR BEZERRA DE SANTANA,4000.00,0.00,4000.00
2019,8,2019-08-07 16:47:54+00:00,AGUINALDO RIBEIRO,PP,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,191.50,0.00,191.50
2019,8,2019-08-07 00:00:00+00:00,JULIAN LEMOS,PSL,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,33469172001644,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,62.35,0.00,62.35
2019,8,2019-08-07 00:00:00+00:00,AGUINALDO RIBEIRO,PP,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597003112,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,144.99,0.00,144.99
2019,8,2019-08-07 00:00:00+00:00,EDNA HENRIQUE,PSDB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,29032820000147,BELIZE COMPANY AUTO POSTO,241.14,0.00,241.14
2019,7,2019-08-07 00:00:00+00:00,RUY CARNEIRO,PSDB,PB,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",20972537000120,COMUNICAÇÃO & MARKETING LTDA,36000.00,0.00,36000.00
2019,7,2019-08-07 00:00:00+00:00,AGUINALDO RIBEIRO,PP,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,02214932000162,NOVITTA RENT A CAR TRANSPORTE LTDA ME,5200.00,0.00,5200.00
2019,7,2019-08-07 00:00:00+00:00,JULIAN LEMOS,PSL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,29830518000134,JESSICA SENHORI DE ARAUJO 01030250146,7000.00,0.00,7000.00
2019,7,2019-08-07 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,17328301000141,PATOS ONLINE MIDIA E COMUNICACAO LTDA.,1200.00,0.00,1200.00
2019,7,2019-08-07 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,30469542000179,Geraldo Antônio de Andrade,300.00,0.00,300.00
2019,7,2019-08-07 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,33099204000180,EMERSOM VASCONCELOS SILVA FERREIRA,300.00,0.00,300.00
2019,8,2019-08-06 00:00:00+00:00,JULIAN LEMOS,PSL,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,02069293000199,trattoria 101 com de alimentos ltda,126.00,6.00,120.00
2019,8,2019-08-06 00:00:00+00:00,AGUINALDO RIBEIRO,PP,PB,PASSAGENS AÉREAS,09296295000160,AZUL LINHAS AÉREAS INTELIGENTES S.A,1117.74,0.00,1117.74
2019,8,2019-08-06 00:00:00+00:00,AGUINALDO RIBEIRO,PP,PB,COMBUSTÍVEIS E LUBRIFICANTES.,30879261000194,AUTO POSTO GOLDEN GAS LAGO LTDA,50.00,0.00,50.00
2019,8,2019-08-06 00:00:00+00:00,HUGO MOTTA,PRB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597002736,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,230.00,0.00,230.00
2019,8,2019-08-06 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",27216869002259,SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA,210.00,0.00,210.00
2019,8,2019-08-06 00:00:00+00:00,HUGO MOTTA,PRB,PB,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,03038875000170,PLENA INFORMATICA LTDA EPP,120.00,0.00,120.00
2019,8,2019-08-06 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",27216869002259,SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA,204.75,0.00,204.75
2019,8,2019-08-06 00:00:00+00:00,WELLINGTON ROBERTO,PL,PB,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,04962228000113,TAKEO MARUTA CONVENIENCIA ME,342.60,0.00,342.60
2019,8,2019-08-06 00:00:00+00:00,JULIAN LEMOS,PSL,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,27522923000160,CASARAO DA VILA RESTAURANTE LTDA - ME,32.00,0.00,32.00
2019,7,2019-08-06 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,28367462000160,JFB LOCADORA LTDA,8000.00,7787.00,213.00
2019,7,2019-08-06 00:00:00+00:00,HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,09813060000106,Nelsivania de Almeida Medeiros - ME,1000.00,0.00,1000.00
2019,8,2019-08-05 00:00:00+00:00,RUY CARNEIRO,PSDB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,33469172001644,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,65.78,0.00,65.78
2019,8,2019-08-05 00:00:00+00:00,DAMIÃO FELICIANO,PDT,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597006995,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,214.49,0.00,214.49
2019,8,2019-08-05 00:00:00+00:00,GERVÁSIO MAIA,PSB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597007614,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,251.92,0.00,251.92
2019,8,2019-08-05 00:00:00+00:00,JULIAN LEMOS,PSL,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00097626000400,BRASAL COMBUSTIVEIS LTDA,214.79,0.00,214.79
2019,7,2019-08-05 00:00:00+00:00,GERVÁSIO MAIA,PSB,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,21891589000135,IZA CARLA SILVA SANTA BRIGIDA - ME,3500.00,0.00,3500.00
2019,7,2019-08-05 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,11694678000138,POLLYANA SANTOS DE ANDRADE FRADE - ME,1000.00,0.00,1000.00
2019,8,2019-08-03 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,26470710000179,POSTO 99 COMERCIAL DE COMBUSTIVEIS LTDA,200.00,0.00,200.00
2019,8,2019-08-03 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,11306573000164,LAGULLA RESTAURANTE,126.03,0.00,126.03
2019,8,2019-08-03 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,15743996000100,RESTAURANTE POSTO CAJA II,58.52,0.00,58.52
2019,8,2019-08-03 00:00:00+00:00,JULIAN LEMOS,PSL,PB,COMBUSTÍVEIS E LUBRIFICANTES.,08847410000184,COMERCIAL DE COMBUSTIVEIS CAJA LTDA,200.01,0.00,200.01
2019,8,2019-08-03 00:00:00+00:00,WILSON SANTIAGO,PTB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,08847410000265,COMERCIAL DE COMBUSTVEIS CAJA LTDA,80.00,0.00,80.00
2019,8,2019-08-02 00:00:00+00:00,RUY CARNEIRO,PSDB,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,12627171000124,MANGABEIRA DF RESTAURANTE LTDA ME,36.58,0.00,36.58
2019,8,2019-08-02 00:00:00+00:00,FREI ANASTACIO RIBEIRO,PT,PB,COMBUSTÍVEIS E LUBRIFICANTES.,01857272000175,VASCO DA GAMA REVENDEDORA DE COMBUSTIVEIS LTDA,210.00,0.00,210.00
2019,8,2019-08-02 00:00:00+00:00,PEDRO CUNHA LIMA,PSDB,PB,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,13345728000105,EMIDIO SOUTO PEREIRA - EPP,403.70,0.00,403.70
2019,8,2019-08-02 00:00:00+00:00,WELLINGTON ROBERTO,PL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,02265372000175,ELLITE COMERCIO E SERVICOS GRAFICOS LTDA - ME,18000.00,0.00,18000.00
2019,8,2019-08-01 00:00:00+00:00,AGUINALDO RIBEIRO,PP,PB,COMBUSTÍVEIS E LUBRIFICANTES.,00306597002574,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,170.00,0.00,170.00
2019,8,2019-08-01 00:00:00+00:00,FREI ANASTACIO RIBEIRO,PT,PB,COMBUSTÍVEIS E LUBRIFICANTES.,01857272000175,VASCO DA GAMA REVENDEDORA DE COMBUSTIVEIS LTDA,40.00,0.00,40.00
2019,8,2019-08-01 00:00:00+00:00,PEDRO CUNHA LIMA,PSDB,PB,COMBUSTÍVEIS E LUBRIFICANTES.,01420327000266,MOTOGAS IND.DE COMPRESSAO E COM.DE GAS NATURAL LTD,100.00,0.00,100.00
